questions,queries,answers
which city has the minimum share of private motorised transport in the traffic flow of persons living?,SELECT T2.name         FROM spatialunit AS T2         JOIN miv_share AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.miv_share_modal_split ASC LIMIT 1,51.0
which municipality has the minimal motorized private transport in circulation of the people living?,SELECT T2.name         FROM spatialunit AS T2         JOIN miv_share AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.miv_share_modal_split ASC LIMIT 1,51.0
which municipality has the minimum share of the motorized private transport in the movements of the living people?,SELECT T2.name         FROM spatialunit AS T2         JOIN miv_share AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.miv_share_modal_split ASC LIMIT 1,51.0
"what are the highest, lowest and average share of motorized private transport in the traffic of people living?","SELECT MAX(T1.miv_share_modal_split::numeric),         MIN(T1.miv_share_modal_split::numeric), AVG(T1.miv_share_modal_split::numeric)         FROM miv_share AS T1","[98.0, 51.0, 86.06]"
"what are the highest, lowest and average shares of private motorised transport in the traffic movements of living?","SELECT MAX(T1.miv_share_modal_split::numeric),         MIN(T1.miv_share_modal_split::numeric), AVG(T1.miv_share_modal_split::numeric)         FROM miv_share AS T1","[98.0, 51.0, 86.06]"
"what is the highest, lowest and average share of motorised private transport in the traffic of the living people?","SELECT MAX(T1.miv_share_modal_split::numeric),         MIN(T1.miv_share_modal_split::numeric), AVG(T1.miv_share_modal_split::numeric)         FROM miv_share AS T1","[98.0, 51.0, 86.06]"
"how does the highest, lowest and average share of motorised private transport influence the movement of people?","SELECT MAX(T1.miv_share_modal_split::numeric),         MIN(T1.miv_share_modal_split::numeric), AVG(T1.miv_share_modal_split::numeric)         FROM miv_share AS T1","[98.0, 51.0, 86.06]"
"what is the highest, lowest and the average share of motorized private transport in traffic movement of living people?","SELECT MAX(T1.miv_share_modal_split::numeric),         MIN(T1.miv_share_modal_split::numeric), AVG(T1.miv_share_modal_split::numeric)         FROM miv_share AS T1","[98.0, 51.0, 86.06]"
"what is the highest, the lowest and the average share of the motorised private transport in traffic movements of people living?","SELECT MAX(T1.miv_share_modal_split::numeric),         MIN(T1.miv_share_modal_split::numeric), AVG(T1.miv_share_modal_split::numeric)         FROM miv_share AS T1","[98.0, 51.0, 86.06]"
"what is the highest, lowest and average share of the motorised private transport resembling the people living?","SELECT MAX(T1.miv_share_modal_split::numeric),         MIN(T1.miv_share_modal_split::numeric), AVG(T1.miv_share_modal_split::numeric)         FROM miv_share AS T1","[98.0, 51.0, 86.06]"
"what are the highest, lowest and average share of motorised private transport in the traffic flows of the living","SELECT MAX(T1.miv_share_modal_split::numeric),         MIN(T1.miv_share_modal_split::numeric), AVG(T1.miv_share_modal_split::numeric)         FROM miv_share AS T1","[98.0, 51.0, 86.06]"
how many municipalities have a share of motorized private transportation in the traffic of people living per year that is higher than 90.0?,"SELECT T1.year, COUNT(*)         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.miv_share_modal_split::numeric > 90.0 AND T2.type_id = 1         GROUP BY T1.year",55
how many municipalities have a share of motorised private transport in the traffic movements of people living more than 90.0 per year?,"SELECT T1.year, COUNT(*)         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.miv_share_modal_split::numeric > 90.0 AND T2.type_id = 1         GROUP BY T1.year",55
how many municipalities have a higher share of motorised private transport in transport movements of people living than 90.0 per year?,"SELECT T1.year, COUNT(*)         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.miv_share_modal_split::numeric > 90.0 AND T2.type_id = 1         GROUP BY T1.year",55
how many municipalities have a share of motorised private transport in the traffic movement of people who live above 90.0 per year?,"SELECT T1.year, COUNT(*)         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.miv_share_modal_split::numeric > 90.0 AND T2.type_id = 1         GROUP BY T1.year",55
how many municipalities have a share of motorised private transport in the traffic movement of people living above 90.0 per year?,"SELECT T1.year, COUNT(*)         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.miv_share_modal_split::numeric > 90.0 AND T2.type_id = 1         GROUP BY T1.year",55
how many municipalities have a share of motorized private transport in the transports of people living higher than 90.0 per year?,"SELECT T1.year, COUNT(*)         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.miv_share_modal_split::numeric > 90.0 AND T2.type_id = 1         GROUP BY T1.year",55
how many municipalities have a share of the motorised private transport in the traffic movements of people living at a rate of 90.0 per year?,"SELECT T1.year, COUNT(*)         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.miv_share_modal_split::numeric > 90.0 AND T2.type_id = 1         GROUP BY T1.year",55
how many municipalities have a share of motorised private transport in the traffic of people living above 90.0 per year?,"SELECT T1.year, COUNT(*)         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.miv_share_modal_split::numeric > 90.0 AND T2.type_id = 1         GROUP BY T1.year",55
"in the year 2013, how high is the total share of motorised private transport in traffic movement of residents in the canton zurich?",SELECT T1.miv_share_modal_split FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,70.0
how high is the total share of private motor vehicle traffic of people living in canton zurich in the year 2013?,SELECT T1.miv_share_modal_split FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,70.0
how high is the total share of motorized private transportation in traffic of people living in the canton of zurich in 2013?,SELECT T1.miv_share_modal_split FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,70.0
how high is the total share of motorized private transport in the movement of people living in the canton of zurich in 2013?,SELECT T1.miv_share_modal_split FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,70.0
how high is the total share of motorised private transport in the traffic movements of people living in zurich in the year 2013?,SELECT T1.miv_share_modal_split FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,70.0
how high is the total traffic volume of motorized private transportation of people living in kanton zurich in 2013?,SELECT T1.miv_share_modal_split FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,70.0
how high is the total share of motorized private transport in the 2013 transport movements of people living in the canton of zurich?,SELECT T1.miv_share_modal_split FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,70.0
in 2013 how high is the total share of motorized private transport in the traffic of people living in canton zurich?,SELECT T1.miv_share_modal_split FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,70.0
which region had the lowest share of motorised private transport in the traffic flow of the living in 2013?,SELECT T2.name         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.miv_share_modal_split         LIMIT 1,51.0
which region had the lowest share of motorized private transport in traffic movements of people living in 2013?,SELECT T2.name         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.miv_share_modal_split         LIMIT 1,51.0
"in 2013, which region had the lowest share of motorized private transport in traffic for living people?",SELECT T2.name         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.miv_share_modal_split         LIMIT 1,51.0
"in 2013, which region had the lowest share of motorized private transport in the traffic circulation of people living?",SELECT T2.name         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.miv_share_modal_split         LIMIT 1,51.0
in 2013 which region had the lowest share of motorised private transport in traffic flows of people living?,SELECT T2.name         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.miv_share_modal_split         LIMIT 1,51.0
in 2013 which region had the lowest share of motorised private transport in traffic of the people living?,SELECT T2.name         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.miv_share_modal_split         LIMIT 1,51.0
which region had the lowest share of motorised private transport in traffic movements of living people in 2013?,SELECT T2.name         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.miv_share_modal_split         LIMIT 1,51.0
which region had the lowest share of motorized private transport in traffic movements of people in 2013?,SELECT T2.name         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.miv_share_modal_split         LIMIT 1,51.0
how high is the number of newly registered cars in affoltern a.a. in 2003?,SELECT T1.amount_new_pw_registrations_per_1000_inhabitants         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Affoltern a.A.' AND T1.year = 2003,28.2
how high is the number of newly registered cars in the 2003 affoltern a.a.?,SELECT T1.amount_new_pw_registrations_per_1000_inhabitants         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Affoltern a.A.' AND T1.year = 2003,28.2
how many new cars were registered in 2003 in affoltern a.a.?,SELECT T1.amount_new_pw_registrations_per_1000_inhabitants         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Affoltern a.A.' AND T1.year = 2003,28.2
how high is the number of new cars in 2003 in affoltern a.a.,SELECT T1.amount_new_pw_registrations_per_1000_inhabitants         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Affoltern a.A.' AND T1.year = 2003,28.2
how high is the number of newly registered cars in affoltern a. a. in the year 2003?,SELECT T1.amount_new_pw_registrations_per_1000_inhabitants         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Affoltern a.A.' AND T1.year = 2003,28.2
the number of newly registered cars in affoltern a. a. in 2003 is high?,SELECT T1.amount_new_pw_registrations_per_1000_inhabitants         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Affoltern a.A.' AND T1.year = 2003,28.2
which municipality has the most recently registered cars?,SELECT T2.name         FROM spatialunit AS T2         JOIN amount_new_pw_registrations AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.amount_new_pw_registrations_per_1000_inhabitants DESC LIMIT 1,96.9
which municipality has the most new car registrations?,SELECT T2.name         FROM spatialunit AS T2         JOIN amount_new_pw_registrations AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.amount_new_pw_registrations_per_1000_inhabitants DESC LIMIT 1,96.9
which municipality has the highest number of newly registered vehicles?,SELECT T2.name         FROM spatialunit AS T2         JOIN amount_new_pw_registrations AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.amount_new_pw_registrations_per_1000_inhabitants DESC LIMIT 1,96.9
which municipality has the minimum number of new vehicles registered?,SELECT T2.name         FROM spatialunit AS T2         JOIN amount_new_pw_registrations AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.amount_new_pw_registrations_per_1000_inhabitants ASC LIMIT 1,12.4
which municipality has the minimum number of newly registered vehicles?,SELECT T2.name         FROM spatialunit AS T2         JOIN amount_new_pw_registrations AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.amount_new_pw_registrations_per_1000_inhabitants ASC LIMIT 1,12.4
"what is the highest, lowest and average number of newly registered cars?","SELECT MAX(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric),         MIN(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric), AVG(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric)         FROM amount_new_pw_registrations AS T1","[96.9, 12.4, 35.21]"
"what is the highest, lowest and average number of new registered cars?","SELECT MAX(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric),         MIN(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric), AVG(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric)         FROM amount_new_pw_registrations AS T1","[96.9, 12.4, 35.21]"
"what are the highest, lowest and the average number of newly registered vehicles?","SELECT MAX(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric),         MIN(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric), AVG(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric)         FROM amount_new_pw_registrations AS T1","[96.9, 12.4, 35.21]"
"which is the highest, lowest and the average number of newly registered cars?","SELECT MAX(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric),         MIN(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric), AVG(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric)         FROM amount_new_pw_registrations AS T1","[96.9, 12.4, 35.21]"
"what is the highest, lowest and tally of newly registered cars?","SELECT MAX(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric),         MIN(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric), AVG(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric)         FROM amount_new_pw_registrations AS T1","[96.9, 12.4, 35.21]"
how many municipalities have a total number of newly registered cars above 28.2 per year?,"SELECT T1.year, COUNT(*)         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.amount_new_pw_registrations_per_1000_inhabitants::numeric > 28.2 AND T2.type_id = 1         GROUP BY T1.year",140
how many municipalities have a new number of cars that is higher than 28.2 per year?,"SELECT T1.year, COUNT(*)         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.amount_new_pw_registrations_per_1000_inhabitants::numeric > 28.2 AND T2.type_id = 1         GROUP BY T1.year",140
how many municipalities have a year of new registered cars higher than 28.2?,"SELECT T1.year, COUNT(*)         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.amount_new_pw_registrations_per_1000_inhabitants::numeric > 28.2 AND T2.type_id = 1         GROUP BY T1.year",140
how many municipalities have a number of newly registered vehicles higher than 28.2 per year?,"SELECT T1.year, COUNT(*)         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.amount_new_pw_registrations_per_1000_inhabitants::numeric > 28.2 AND T2.type_id = 1         GROUP BY T1.year",140
how many municipalities have a number of new registered cars above 28.2 per year?,"SELECT T1.year, COUNT(*)         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.amount_new_pw_registrations_per_1000_inhabitants::numeric > 28.2 AND T2.type_id = 1         GROUP BY T1.year",140
how many municipalities have a number of newly registered cars of greater than 28.2 per year?,"SELECT T1.year, COUNT(*)         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.amount_new_pw_registrations_per_1000_inhabitants::numeric > 28.2 AND T2.type_id = 1         GROUP BY T1.year",140
how many municipalities have a number of newly registered cars exceeding 28.2 per year?,"SELECT T1.year, COUNT(*)         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.amount_new_pw_registrations_per_1000_inhabitants::numeric > 28.2 AND T2.type_id = 1         GROUP BY T1.year",140
how high is the total number of newly registered cars in canton zürich in the year 2003?,SELECT T1.amount_new_pw_registrations_per_1000_inhabitants FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2003,33.1
"in the year 2003, how much are the new cars registered in the canton of zurich?",SELECT T1.amount_new_pw_registrations_per_1000_inhabitants FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2003,33.1
how high is the total number of newly registered cars in canton zurich in 2003?,SELECT T1.amount_new_pw_registrations_per_1000_inhabitants FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2003,33.1
how much is the total number of newly registered cars in the canton zürich in the year 2003?,SELECT T1.amount_new_pw_registrations_per_1000_inhabitants FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2003,33.1
"in 2003, how high is the total number of newly registered cars in the canton of zurich?",SELECT T1.amount_new_pw_registrations_per_1000_inhabitants FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2003,33.1
how high is the total number of new cars in the canton zurich in 2003?,SELECT T1.amount_new_pw_registrations_per_1000_inhabitants FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2003,33.1
how high is the total number of new cars registered in the canton of zurich in 2003?,SELECT T1.amount_new_pw_registrations_per_1000_inhabitants FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2003,33.1
which region had the lowest number of new vehicles registered in 2003?,SELECT T2.name         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2003         ORDER BY T1.amount_new_pw_registrations_per_1000_inhabitants         LIMIT 1,26.4
which region had the lowest number of newly registered vehicles in 2003?,SELECT T2.name         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2003         ORDER BY T1.amount_new_pw_registrations_per_1000_inhabitants         LIMIT 1,26.4
which region had the lowest number of newly registered cars in 2003?,SELECT T2.name         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2003         ORDER BY T1.amount_new_pw_registrations_per_1000_inhabitants         LIMIT 1,26.4
which region had the smallest number of newly registered cars in 2003?,SELECT T2.name         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2003         ORDER BY T1.amount_new_pw_registrations_per_1000_inhabitants         LIMIT 1,26.4
what is the share of hybrid vehicles in uster in 2014?,SELECT T1.share_of_hybrid_cars         FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Uster' AND T1.year = 2014,1.4
in 2014 how high is the share of hybrid vehicles in uster?,SELECT T1.share_of_hybrid_cars         FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Uster' AND T1.year = 2014,1.4
"in 2014, how high is the share of hybrid vehicles in uster?",SELECT T1.share_of_hybrid_cars         FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Uster' AND T1.year = 2014,1.4
which of the hybrid vehicles are high in uster in 2014?,SELECT T1.share_of_hybrid_cars         FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Uster' AND T1.year = 2014,1.4
how high is the share of hybrid vehicles in uster in 2014?,SELECT T1.share_of_hybrid_cars         FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Uster' AND T1.year = 2014,1.4
how much is the share of hybrid vehicles in uster in 2014?,SELECT T1.share_of_hybrid_cars         FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Uster' AND T1.year = 2014,1.4
the share of hybrid vehicles in uster is in 2014?,SELECT T1.share_of_hybrid_cars         FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Uster' AND T1.year = 2014,1.4
which municipality has the highest share of hybrid cars?,SELECT T2.name         FROM spatialunit AS T2         JOIN share_hybrid_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.share_of_hybrid_cars DESC LIMIT 1,2.2
which municipality has the largest share of hybrid vehicles?,SELECT T2.name         FROM spatialunit AS T2         JOIN share_hybrid_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.share_of_hybrid_cars DESC LIMIT 1,2.2
which municipal authority has the minimum share of hybrid vehicles?,SELECT T2.name         FROM spatialunit AS T2         JOIN share_hybrid_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.share_of_hybrid_cars ASC LIMIT 1,0.0
which city has the minimum share of hybrid vehicles?,SELECT T2.name         FROM spatialunit AS T2         JOIN share_hybrid_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.share_of_hybrid_cars ASC LIMIT 1,0.0
which municipality has the minimum amount of hybrid vehicles?,SELECT T2.name         FROM spatialunit AS T2         JOIN share_hybrid_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.share_of_hybrid_cars ASC LIMIT 1,0.0
"what is the highest, lowest and average share of hybrid vehicles?","SELECT MAX(T1.share_of_hybrid_cars::numeric),         MIN(T1.share_of_hybrid_cars::numeric), AVG(T1.share_of_hybrid_cars::numeric)         FROM share_hybrid_cars AS T1","[2.2, 0.0, 1.13]"
"what are the highest, lowest and average shares of hybrid vehicles?","SELECT MAX(T1.share_of_hybrid_cars::numeric),         MIN(T1.share_of_hybrid_cars::numeric), AVG(T1.share_of_hybrid_cars::numeric)         FROM share_hybrid_cars AS T1","[2.2, 0.0, 1.13]"
"what is the highest, lowest and smallest share of hybrid vehicles?","SELECT MAX(T1.share_of_hybrid_cars::numeric),         MIN(T1.share_of_hybrid_cars::numeric), AVG(T1.share_of_hybrid_cars::numeric)         FROM share_hybrid_cars AS T1","[2.2, 0.0, 1.13]"
"what are the highest, lowest and average hybrid vehicle share?","SELECT MAX(T1.share_of_hybrid_cars::numeric),         MIN(T1.share_of_hybrid_cars::numeric), AVG(T1.share_of_hybrid_cars::numeric)         FROM share_hybrid_cars AS T1","[2.2, 0.0, 1.13]"
how many municipalities have a hybrid vehicle share greater than 1.4 per year?,"SELECT T1.year, COUNT(*)         FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.share_of_hybrid_cars::numeric > 1.4 AND T2.type_id = 1         GROUP BY T1.year",26
how many municipalities have a share of hybrid vehicles more than 1.4 per year?,"SELECT T1.year, COUNT(*)         FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.share_of_hybrid_cars::numeric > 1.4 AND T2.type_id = 1         GROUP BY T1.year",26
"in 2014, how high is the total share of hybrid vehicles in the canton zürich?",SELECT T1.share_of_hybrid_cars FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2014,1.2
"in 2014, how high is the total share of hybrid vehicles in the canton of zurich?",SELECT T1.share_of_hybrid_cars FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2014,1.2
how high is the total share of hybrid vehicles in 2014 in the canton of zurich?,SELECT T1.share_of_hybrid_cars FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2014,1.2
how high is the total share of hybrid vehicles in canton zurich in 2014?,SELECT T1.share_of_hybrid_cars FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2014,1.2
how much is the total share of hybrid vehicles in canton zurich in 2014?,SELECT T1.share_of_hybrid_cars FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2014,1.2
how high is the total proportion of hybrid vehicles in the canton of zurich in 2014?,SELECT T1.share_of_hybrid_cars FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2014,1.2
how much is the total share of hybrid vehicles in the canton zurich in 2014?,SELECT T1.share_of_hybrid_cars FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2014,1.2
which region had the lowest share of hybrid vehicles in 2014?,SELECT T2.name         FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2014         ORDER BY T1.share_of_hybrid_cars         LIMIT 1,1.0
in 2014 which region had the lowest share of hybrid vehicles?,SELECT T2.name         FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2014         ORDER BY T1.share_of_hybrid_cars         LIMIT 1,1.0
in which region in 2014 the lowest share of hybrid vehicles was?,SELECT T2.name         FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2014         ORDER BY T1.share_of_hybrid_cars         LIMIT 1,1.0
how high is the share of electric vehicles in zollikon in 2005?,SELECT T1.share_electric_cars         FROM share_electric_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Zollikon' AND T1.year = 2005,0.0
how high is the share of the electric vehicles in zollikon in 2005?,SELECT T1.share_electric_cars         FROM share_electric_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Zollikon' AND T1.year = 2005,0.0
